"brain__DBA.2J"	"colon__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"brain__CD1"	"colon__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"metadata"
"Ptpn5"	2979	69	76	0	9	4539	62	12	0	11	4459	73	49	3	69	"protein tyrosine phosphatase, non-receptor type 5"
"Chp2"	8	8071	1	72	30	18	5564	7	117	24	9	3388	4	90	16	"calcineurin-like EF hand protein 2"
"Plk1"	27	734	24	5	34	43	610	27	15	25	23	698	59	9	53	"polo like kinase 1"
"Acsm3"	13	151	42372	3213	23	9	51	26885	2905	11	11	113	25661	2816	18	"acyl-CoA synthetase medium-chain family member 3"
"Acsm2"	0	0	191190	374	0	0	0	138472	187	0	0	2	216353	302	0	"acyl-CoA synthetase medium-chain family member 2"
"Mki67"	46	3883	216	27	316	67	3482	137	71	367	41	3232	237	75	298	"antigen identified by monoclonal antibody Ki 67"
"Stk33"	33	0	1	0	192	23	2	0	0	292	34	4	26	0	170	"serine/threonine kinase 33"
"Tub"	5126	38	4	4	24	6086	22	3	0	17	8198	33	6	3	18	"tubby bipartite transcription factor"
"Usp11"	4275	182	187	36	471	4166	219	282	55	463	4088	321	246	55	593	"ubiquitin specific peptidase 11"
"Ano1"	102	320	168	61	2807	66	285	297	110	1809	63	488	215	73	3972	"anoctamin 1, calcium activated chloride channel"
"Smarca1"	986	44	58	12	54	950	26	30	3	47	955	31	18	3	38	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
"Fgf13"	2585	48	4	1	21	1868	39	7	0	33	2491	29	2	3	10	"fibroblast growth factor 13"
"Syp"	14985	74	104	28	125	16131	94	114	19	71	19182	146	65	35	82	"synaptophysin"
"Glod5"	16	4204	754	1	0	9	6526	803	0	0	11	3311	599	0	1	"glyoxalase domain containing 5"
"Otc"	0	4825	0	26653	3	1	3261	0	20213	11	3	3063	0	17179	4	"ornithine transcarbamylase"
"Heph"	258	7567	216	64	405	175	6287	258	43	200	131	3048	235	61	352	"hephaestin"
"Magee1"	4843	54	107	119	210	3293	45	125	131	181	3735	79	103	160	304	"MAGE family member E1"
"Pak3"	5261	40	3	1	36	3834	42	8	1	31	4386	50	4	6	25	"p21 (RAC1) activated kinase 3"
"Lrch2"	699	24	16	7	46	541	12	15	1	32	579	29	10	3	27	"leucine-rich repeats and calponin homology (CH) domain containing 2"
"D630029K05Rik"	3	1	3307	1	37	6	0	4736	0	41	5	0	2660	0	62	"RIKEN cDNA D630029K05 gene"
"Slc7a3"	431	8	5	0	11	284	46	20	3	18	272	54	4	0	11	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 3"
"Map3k15"	33	72	1202	34	109	80	60	1135	44	79	31	31	1148	29	57	"mitogen-activated protein kinase kinase kinase 15"
"Gpm6b"	20222	97	171	42	1733	16568	66	199	23	920	17218	146	158	49	1472	"glycoprotein m6b"
"Gabra3"	3545	49	140	57	148	3199	66	153	49	80	3333	75	128	49	120	"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3"
"Car5b"	104	17	2216	187	254	110	45	1868	107	185	73	38	1641	136	165	"carbonic anhydrase 5b, mitochondrial"
"Vegfd"	60	54	134	95	1309	66	79	242	73	736	73	117	152	46	1990	"vascular endothelial growth factor D"
"Plp1"	70205	70	69	67	82	35405	88	114	68	98	20015	123	59	116	92	"proteolipid protein (myelin) 1"
"Zcchc18"	6498	62	11	2	50	6226	62	24	4	57	6875	67	12	0	49	"zinc finger, CCHC domain containing 18"
"Atp11a"	1839	391	95726	1011	12550	1958	294	50495	941	8250	1698	390	64634	1465	10181	"ATPase, class VI, type 11A"
"F7"	0	1	2	3616	355	2	9	2	5943	251	3	2	0	4649	423	"coagulation factor VII"
"F10"	1	32	3	20644	161	0	39	8	24074	144	3	33	0	20468	136	"coagulation factor X"
"Proz"	216	1131	591	24190	90	272	781	331	23599	79	324	813	700	21303	72	"protein Z, vitamin K-dependent plasma glycoprotein"
"Myom2"	3	1	435	0	68	7	3	471	0	178	14	6	538	3	167	"myomesin 2"
"Gpm6a"	28703	40	3702	52	2104	25183	45	3234	31	919	30972	77	3303	58	1298	"glycoprotein m6a"
"Ap3m2"	3090	135	151	81	624	3817	168	230	93	505	3427	177	162	81	578	"adaptor-related protein complex 3, mu 2 subunit"
"Ank1"	2917	34	8	0	40	1143	37	8	7	59	1394	4	6	12	74	"ankyrin 1, erythroid"
"Ido2"	52	3	451	3669	11	48	5	442	5331	3	49	8	501	5044	8	"indoleamine 2,3-dioxygenase 2"
"Fgl1"	0	1	2	3627	8	8	32	40	5335	8	0	0	6	4316	1	"fibrinogen-like protein 1"
"Slc7a2"	720	36	94	22996	1196	596	85	196	37461	707	539	69	47	36171	807	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2"
"Ednra"	131	201	95	188	1542	92	119	99	117	924	96	133	87	107	2048	"endothelin receptor type A"
"Nkd1"	300	277	123	195	2088	210	177	113	252	1663	144	302	93	131	3472	"naked cuticle 1"
"Snx20"	25	1413	17	17	159	18	1310	14	32	222	23	1467	22	26	180	"sorting nexin 20"
"Gpt2"	1130	126	1433	12385	284	1132	193	1564	21512	246	1079	204	1530	21596	272	"glutamic pyruvate transaminase (alanine aminotransferase) 2"
"Hp"	1	3	17	107197	19724	3	29	255	102734	19748	3	10	156	78705	11389	"haptoglobin"
"Irx5"	30	3	80	1	345	3	0	35	0	259	5	2	69	0	430	"Iroquois homeobox 5"
"Gnao1"	12827	326	76	22	643	13130	330	181	10	599	14274	396	116	23	1531	"guanine nucleotide binding protein, alpha O"
"Nudt7"	118	966	393	62956	362	109	905	574	44330	375	53	671	187	56239	227	"nudix (nucleoside diphosphate linked moiety X)-type motif 7"
"B3gnt3"	3	2233	11	29	117	19	4967	148	111	319	11	1859	30	23	153	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"
"Rab3a"	10330	193	220	180	435	8403	216	232	233	323	8556	238	280	264	531	"RAB3A, member RAS oncogene family"
"Hsd17b2"	12	617	634	9058	0	1	1107	524	8551	4	8	492	507	7265	1	"hydroxysteroid (17-beta) dehydrogenase 2"
"Pgr"	802	14	37	2	143	546	8	24	2	73	685	8	16	0	58	"progesterone receptor"
"Cdh5"	292	316	1199	866	17338	102	324	1358	1054	11007	115	396	1152	960	23405	"cadherin 5"
"Cdh16"	1	1	22899	6	292	1	2	25864	2	196	0	0	30705	3	404	"cadherin 16"
"Ces2e"	0	26030	260	9857	100	0	36482	375	8063	91	0	19741	246	4713	95	"carboxylesterase 2E"
"Hsd11b2"	4	138	1888	1	46	4	71	2049	1	9	2	138	2027	0	50	"hydroxysteroid 11-beta dehydrogenase 2"
"Tsnaxip1"	12	1	4	1	235	36	9	3	1	264	21	21	34	0	137	"translin-associated factor X (Tsnax) interacting protein 1"
"Ccsap"	757	90	18	11	29	965	79	19	10	43	1238	85	10	20	41	"centriole, cilia and spindle associated protein"
"Agt"	1686	159	1369	19174	26	550	194	1006	25634	13	348	244	954	21164	34	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"
"Adamts8"	73	33	177	5	572	103	46	46	9	403	101	83	53	9	1217	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8"
"Thy1"	13067	188	37	46	339	11991	436	81	68	432	13450	431	37	20	329	"thymus cell antigen 1, theta"
"Oaf"	124	606	740	11939	97	157	584	758	16311	76	186	817	996	10082	156	"out at first homolog"
"Grik4"	726	28	6	2	21	654	32	2	10	11	975	48	2	6	27	"glutamate receptor, ionotropic, kainate 4"
"Sc5d"	1530	1766	435	16910	1009	1470	2358	1511	19216	975	1122	1213	317	12530	692	"sterol-C5-desaturase"
"Nxpe2"	19	5	3	878	24	20	14	32	723	173	9	15	0	737	12	"neurexophilin and PC-esterase domain family, member 2"
"Barx2"	45	993	2	5	62	66	1624	1	1	62	49	1188	8	0	22	"BarH-like homeobox 2"
"Kirrel3"	1231	2	19	22	45	1290	15	14	12	29	1386	10	49	23	36	"kirre like nephrin family adhesion molecule 3"
"Pou2af1"	2	817	28	21	233	0	1099	7	13	470	2	1221	2	12	269	"POU domain, class 2, associating factor 1"
"Apoa4"	0	107162	91	5985	0	0	220615	98	1404	0	0	130329	179	4249	0	"apolipoprotein A-IV"
"Apoc3"	4	5852	70	71094	0	4	17165	122	43988	0	3	11181	69	25903	0	"apolipoprotein C-III"
"Dscaml1"	1225	9	43	0	9	1345	15	21	0	1	1624	58	6	3	2	"DS cell adhesion molecule like 1"
"Tmprss4"	15	2531	18	17	332	8	2313	16	11	251	9	2246	28	78	227	"transmembrane protease, serine 4"
"Cd3e"	1	452	11	16	151	0	637	23	12	102	0	813	16	17	178	"CD3 antigen, epsilon polypeptide"
"Treh"	2	12354	4462	103	0	2	18381	3278	157	1	2	12298	3812	58	0	"trehalase (brush-border membrane glycoprotein)"
"Fez1"	5379	15	32	4	36	4953	32	16	1	40	4763	40	57	6	93	"fasciculation and elongation protein zeta 1 (zygin I)"
"Robo3"	304	8	181	6	2	915	18	309	17	4	1195	17	296	15	6	"roundabout guidance receptor 3"
"Olfm2"	1879	20	24	34	260	1561	22	16	47	78	1922	42	34	61	262	"olfactomedin 2"
"Scg3"	6434	75	0	0	21	4098	103	2	0	6	4774	102	2	9	12	"secretogranin III"
"Tmod2"	15802	64	10	0	793	13272	76	25	4	849	13479	65	16	0	701	"tropomodulin 2"
"Gnb5"	2021	160	219	29	206	2300	199	247	19	308	2196	115	195	12	173	"guanine nucleotide binding protein (G protein), beta 5"
"Aqp9"	35	34	1	18346	23	34	28	2	20355	41	11	31	8	15845	35	"aquaporin 9"
"Ccnb2"	16	554	36	27	56	22	600	38	19	74	11	698	93	17	48	"cyclin B2"
"Fam81a"	3793	2	616	80	180	4449	18	505	126	135	5848	40	816	183	141	"family with sequence similarity 81, member A"
"Gcnt3"	1	1447	14	0	1	2	1296	78	0	1	2	1190	79	0	1	"glucosaminyl (N-acetyl) transferase 3, mucin type"
"Paqr5"	56	25	2079	0	50	47	34	2116	3	15	75	69	2171	3	25	"progestin and adipoQ receptor family member V"
"Acsbg1"	3316	43	22	2	26	2328	82	16	12	25	2107	94	34	3	28	"acyl-CoA synthetase bubblegum family member 1"
"Loxl1"	54	100	365	23	1748	32	171	219	69	1076	40	250	310	26	2388	"lysyl oxidase-like 1"
"Hcn4"	246	27	2	0	39	208	37	2	0	6	79	38	2	0	19	"hyperpolarization-activated, cyclic nucleotide-gated K+ 4"
"Rasgrf1"	13906	39	1	1	68	9557	54	0	2	46	11771	35	2	0	82	"RAS protein-specific guanine nucleotide-releasing factor 1"
"Tinag"	1	358	2722	4	218	0	589	2752	2	307	2	369	2528	0	158	"tubulointerstitial nephritis antigen"
"Plscr2"	77	57	9452	318	797	29	60	7453	775	1052	18	77	5736	754	476	"phospholipid scramblase 2"
"Car12"	305	632	9926	2	11	868	217	8020	0	48	518	329	10206	0	32	"carbonic anhydrase 12"
"Rwdd2a"	569	23	29	16	36	336	22	31	26	34	457	19	14	9	19	"RWD domain containing 2A"
"Clstn2"	2851	48	112	24	385	2118	46	72	6	301	2537	40	105	0	665	"calsyntenin 2"
"Cldn18"	0	1	65	0	20084	0	0	51	5	14296	0	0	26	17	19463	"claudin 18"
"Cspg5"	5173	13	22	574	11	4864	14	38	127	9	6655	33	14	487	8	"chondroitin sulfate proteoglycan 5"
"Pth1r"	141	44	15127	455	50	74	54	11437	369	41	67	75	16983	212	101	"parathyroid hormone 1 receptor"
"Cck"	2806	776	105	1	0	4074	871	213	0	0	4610	1394	77	3	0	"cholecystokinin"
"Ephb1"	1285	20	75	0	44	892	28	89	3	20	798	31	148	0	42	"Eph receptor B1"
"Rab6b"	16403	59	134	1	286	17312	186	741	51	1001	20115	73	317	12	534	"RAB6B, member RAS oncogene family"
"Trf"	642	46	27	75559	992	360	145	50	46615	492	220	71	35	39750	562	"transferrin"
"Cpne4"	1446	24	78	1	14	1944	9	242	0	3	1603	33	59	3	12	"copine IV"
"Col6a4"	12	2168	6	1	34	180	1882	14	1	13	23	1471	0	3	42	"collagen, type VI, alpha 4"
"Mst1r"	39	1060	36	25	92	34	1002	27	17	89	87	823	32	9	234	"macrophage stimulating 1 receptor (c-met-related tyrosine kinase)"
"Bsn"	6882	348	17	5	23	8966	180	17	12	11	11937	302	22	15	73	"bassoon"
"Mst1"	3	17	17	5533	50	17	23	12	8241	41	3	8	12	6314	24	"macrophage stimulating 1 (hepatocyte growth factor-like)"
"Thsd7a"	1482	35	226	28	238	1557	11	244	22	79	892	48	154	20	102	"thrombospondin, type I, domain containing 7A"
"Igdcc4"	1332	49	5	5	42	1110	26	14	6	28	1427	73	4	9	62	"immunoglobulin superfamily, DCC subclass, member 4"
"Ank2"	20341	211	234	49	124	18035	174	143	95	93	17920	202	144	171	166	"ankyrin 2, brain"
"Rnft2"	1749	38	32	1	39	1961	46	50	7	28	2016	33	39	0	40	"ring finger protein, transmembrane 2"
"Rims3"	4583	44	11	33	85	4273	52	22	89	42	3614	46	30	90	88	"regulating synaptic membrane exocytosis 3"
"Styk1"	8	1780	17	1	16	9	1604	52	2	32	11	706	43	3	10	"serine/threonine/tyrosine kinase 1"
"Inha"	300	7	23	2	44	701	18	23	8	36	701	50	20	0	65	"inhibin alpha"
"Guca2b"	0	14816	5125	7	0	0	22902	5020	0	1	2	22895	3614	0	0	"guanylate cyclase activator 2b (retina)"
"Cdo1"	407	318	2612	50323	3302	421	305	3124	40529	2849	390	352	4342	24117	2988	"cysteine dioxygenase 1, cytosolic"
"Resp18"	2161	32	0	1	21	1236	116	0	0	32	924	65	0	0	17	"regulated endocrine-specific protein 18"
"Gas7"	11699	205	225	124	740	13979	327	288	545	724	16607	467	181	99	641	"growth arrest specific 7"
"Clec1a"	54	48	138	102	3619	17	23	105	39	3303	21	77	108	58	2763	"C-type lectin domain family 1, member a"
"Rnf125"	11	81	18	1213	64	11	68	10	2324	96	5	19	6	470	106	"ring finger protein 125"
"Podxl2"	2219	31	44	10	136	1621	26	23	9	83	2220	75	37	9	196	"podocalyxin-like 2"
"Mamdc2"	86	137	10	358	1967	25	83	26	96	1999	57	142	6	93	2973	"MAM domain containing 2"
"Tnxb"	92	389	441	56	1225	160	737	555	589	1123	214	915	420	200	6525	"tenascin XB"
"Snap91"	8458	29	25	0	5	5173	11	10	0	3	7990	67	140	15	4	"synaptosomal-associated protein 91"
"Upb1"	3	239	4075	20241	22	15	674	4008	14644	19	0	327	3894	12657	17	"ureidopropionase, beta"
"Cryzl2"	107	124	6699	886	239	121	162	7826	964	191	21	50	6065	267	78	"crystallin zeta like 2"
"Tmem35a"	1248	33	121	0	68	1434	51	114	1	70	1282	46	114	12	44	"transmembrane protein 35A"
"Ndn"	5931	80	66	34	429	4136	129	75	32	323	3817	148	75	38	621	"necdin, MAGE family member"
"Nat8f2"	11	420	656	34950	2	7	185	1477	46758	0	0	260	526	25506	1	"N-acetyltransferase 8 (GCN5-related) family member 2"
"Qsox1"	638	1018	672	20611	3134	540	1905	553	23725	2321	761	1973	702	19624	3663	"quiescin Q6 sulfhydryl oxidase 1"
"BC034090"	203	42	2657	6	174	218	105	2688	18	159	145	73	4003	3	296	"cDNA sequence BC034090"
"Egr3"	1507	47	7	0	89	2142	42	4	5	50	2133	104	4	3	55	"early growth response 3"
"Nrxn2"	5854	38	229	38	92	5207	51	124	28	125	5299	65	704	49	206	"neurexin II"
"Ephx4"	793	10	4	1	39	766	8	2	2	52	955	13	6	0	20	"epoxide hydrolase 4"
"B3galt2"	1411	5	24	8	44	1045	5	64	5	15	1345	4	28	17	11	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2"
"Fgg"	3	0	34	196407	2	0	0	110	104602	31	6	0	28	123568	3	"fibrinogen gamma chain"
"Map9"	3793	63	294	125	345	4017	31	235	45	282	4465	31	235	96	194	"microtubule-associated protein 9"
"Galnt17"	2143	19	5	1	39	2016	17	20	3	36	2740	19	18	0	62	"polypeptide N-acetylgalactosaminyltransferase 17"
"Ypel4"	990	21	21	47	102	1327	26	15	23	40	1193	29	14	0	35	"yippee like 4"
"Tspoap1"	3445	21	60	1	133	9304	63	86	19	136	7816	44	51	3	132	"TSPO associated protein 1"
"Mab21l4"	1	139	34	1	1158	0	191	54	2	709	0	194	61	3	1202	"mab-21-like 4"
"Nsf"	24275	1454	1446	685	1028	18749	1302	1639	999	1040	21844	1179	1915	864	1124	"N-ethylmaleimide sensitive fusion protein"
"Foxj1"	120	2	4	2	1168	163	8	6	7	902	69	2	41	6	1090	"forkhead box J1"
"Igsf9b"	3062	468	122	1	132	4200	213	84	4	106	4253	263	91	9	99	"immunoglobulin superfamily, member 9B"
"Sdr42e1"	160	400	143	4868	173	185	367	173	6430	111	202	323	118	6114	101	"short chain dehydrogenase/reductase family 42E, member 1"
"Tmem132d"	834	18	2	0	178	1140	6	1	0	192	1210	8	4	0	244	"transmembrane protein 132D"
"Myo15b"	5	17037	3955	19	202	20	27239	3695	36	32	8	15125	5322	38	66	"myosin XVB"
"Uroc1"	1	0	481	15606	0	0	0	718	23764	0	2	0	834	21753	0	"urocanase domain containing 1"
"Hdx"	228	7	6	0	48	149	5	5	5	46	134	10	4	3	27	"highly divergent homeobox"
"Lrrn1"	2308	15	91	0	2	1493	20	130	3	1	1488	8	87	0	1	"leucine rich repeat protein 1, neuronal"
"Dbn1"	3031	103	337	47	236	4541	142	276	70	152	5539	217	509	52	450	"drebrin 1"
"Sema3f"	368	237	551	143	2220	242	182	454	319	2366	238	315	666	218	5456	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F"
"Cpne7"	1482	27	29	5	18	3535	39	51	5	23	5301	42	71	0	32	"copine VII"
"Unc13a"	6037	92	66	79	112	10423	113	53	94	127	9961	133	77	128	193	"unc-13 homolog A"
"Scn7a"	106	177	88	11	9883	163	100	101	11	6774	79	190	37	15	5916	"sodium channel, voltage-gated, type VII, alpha"
"Celf5"	2950	310	2	0	7	5363	108	2	0	3	6019	96	0	0	8	"CUGBP, Elav-like family member 5"
"Nrip3"	5144	18	79	4	22	3381	8	93	2	5	3565	21	41	3	11	"nuclear receptor interacting protein 3"
"Larp6"	799	16	26	0	48	674	25	32	1	31	659	21	43	0	76	"La ribonucleoprotein 6, translational regulator"
"Gipc3"	28	21	32	16	172	24	29	51	37	113	14	65	37	35	573	"GIPC PDZ domain containing family, member 3"
"Nudt19"	749	1210	26185	1133	307	890	1113	22277	1193	342	466	1034	23257	859	164	"nudix (nucleoside diphosphate linked moiety X)-type motif 19"
"Cdhr2"	20	42387	1815	45	0	18	40794	1567	5	0	14	31605	3664	17	0	"cadherin-related family member 2"
"Ttc22"	14	540	52	0	15	30	916	58	3	22	12	638	69	0	18	"tetratricopeptide repeat domain 22"
"Cebpa"	97	624	464	12431	1425	77	618	388	14204	1846	122	1017	597	15210	1666	"CCAAT/enhancer binding protein (C/EBP), alpha"
"Atcay"	4325	27	0	0	5	4125	32	2	1	1	4878	52	0	9	4	"ataxia, cerebellar, Cayman type"
"Hrh2"	298	21	3	0	26	275	43	14	4	40	332	42	18	0	44	"histamine receptor H2"
"Htr2a"	535	3	15	0	38	662	2	9	0	22	622	0	6	0	33	"5-hydroxytryptamine (serotonin) receptor 2A"
"C8a"	2	3	1530	57444	0	3	2	976	33865	0	6	0	931	52152	2	"complement component 8, alpha polypeptide"
"Ccl5"	2	1347	22	41	407	1	3568	34	50	413	3	2088	39	9	399	"chemokine (C-C motif) ligand 5"
"Zc3h12b"	759	35	42	22	70	688	12	39	12	82	775	25	39	15	42	"zinc finger CCCH-type containing 12B"
"Fam167a"	88	21	7	15	513	43	28	17	56	342	26	15	16	44	367	"family with sequence similarity 167, member A"
"Eva1a"	167	52	688	3423	142	129	37	655	3808	106	139	48	767	2532	129	"eva-1 homolog A (C. elegans)"
"Wnk4"	70	248	3340	225	255	105	296	3931	205	150	78	469	4511	731	223	"WNK lysine deficient protein kinase 4"
"Kcne3"	5	1749	12	7	66	2	1165	21	29	45	2	1086	16	20	102	"potassium voltage-gated channel, Isk-related subfamily, gene 3"
"Ubd"	0	210	5	6	5	0	1267	16	39	0	0	758	63	6	0	"ubiquitin D"
"Lcat"	394	10	17	13174	23	267	31	24	14296	27	248	63	35	11961	58	"lecithin cholesterol acyltransferase"
"Pcyt1b"	1437	37	5	8	87	1352	42	5	13	52	1352	52	4	20	53	"phosphate cytidylyltransferase 1, choline, beta isoform"
"Nat14"	557	45	52	5	58	694	54	30	15	40	1094	94	57	9	62	"N-acetyltransferase 14"
"Brsk1"	4328	173	14	5	56	4404	160	36	15	45	5150	154	16	15	75	"BR serine/threonine kinase 1"
"Ptprh"	45	4685	10	1	5	31	7842	20	0	1	49	3628	4	0	2	"protein tyrosine phosphatase, receptor type, H"
"Ccdc180"	15	3	64	0	410	30	2	36	0	412	9	4	41	0	252	"coiled-coil domain containing 180"
"Gc"	0	1	221	315720	9	0	14	565	219880	22	0	0	156	228290	3	"vitamin D binding protein"
"Aldh1b1"	166	10725	62	2976	37	157	10997	42	2622	60	148	7528	245	2257	48	"aldehyde dehydrogenase 1 family, member B1"
"Cbarp"	3560	47	80	27	263	3504	54	74	52	119	4784	83	112	46	365	"calcium channel, voltage-dependent, beta subunit associated regulatory protein"
"Melk"	5	499	9	0	37	13	379	16	3	46	11	494	28	0	32	"maternal embryonic leucine zipper kinase"
"Thrsp"	496	14	51	32002	247	400	117	1325	10798	136	229	23	637	25291	61	"thyroid hormone responsive"
"Krt20"	1	31253	2	7	1	144	47787	6	1	5	3	21931	34	0	0	"keratin 20"
"Ugt2a3"	0	3009	22	12398	2	0	2765	38	9787	1	0	1684	28	8983	1	"UDP glucuronosyltransferase 2 family, polypeptide A3"
"Ugt2b35"	0	3240	0	16980	0	0	1520	0	8962	0	0	1369	2	9200	0	"UDP glucuronosyltransferase 2 family, polypeptide B35"
"Krt222"	998	26	17	1	8	846	42	31	0	29	1024	48	26	0	14	"keratin 222"
"Misp"	4	5718	302	1	125	13	8613	347	13	126	9	6607	410	3	123	"mitotic spindle positioning"
"Cdhr3"	21	0	0	0	1085	102	6	1	0	960	63	0	0	0	695	"cadherin-related family member 3"
"Syt1"	36170	85	31	906	8	39755	80	5	778	3	40841	142	22	885	10	"synaptotagmin I"
"AI182371"	6	5	4	26720	23	12	11	11	17033	55	9	8	14	16460	40	"expressed sequence AI182371"
"Hykk"	110	253	11894	2901	271	80	136	8948	2600	186	66	129	7883	2665	104	"hydroxylysine kinase 1"
"Tmem59l"	3152	13	1	0	57	3800	34	1	0	121	2819	33	2	3	89	"transmembrane protein 59-like"
"Phf24"	6241	20	26	2	304	10994	29	43	24	370	9081	38	6	3	419	"PHD finger protein 24"
"Slc17a3"	1	2	22618	3558	0	0	3	20610	3052	0	0	0	18484	2715	0	"solute carrier family 17 (sodium phosphate), member 3"
"Tm6sf2"	34	8878	208	627	46	52	8878	79	788	38	87	7582	282	780	49	"transmembrane 6 superfamily member 2"
"Sostdc1"	29	8	1096	0	1	102	125	938	0	1	55	113	1185	0	2	"sclerostin domain containing 1"
"Lzts1"	1634	29	22	5	187	2673	34	50	11	152	2563	52	30	3	268	"leucine zipper, putative tumor suppressor 1"
"Slc18a1"	8	341	3577	62	39	7	267	7992	206	42	5	198	5604	145	51	"solute carrier family 18 (vesicular monoamine), member 1"
"P2ry12"	745	20	10	57	80	578	23	7	25	69	636	13	6	32	139	"purinergic receptor P2Y, G-protein coupled 12"
"Glb1l2"	15	4	3897	1	834	33	9	4894	1	622	26	17	4575	0	912	"galactosidase, beta 1-like 2"
"Megf11"	901	68	44	35	48	584	49	55	24	65	601	54	53	26	27	"multiple EGF-like-domains 11"
"Lgi4"	268	10	2	7	39	200	8	6	4	15	309	33	4	20	69	"leucine-rich repeat LGI family, member 4"
"Ndrg4"	29810	71	82	4	68	36890	86	334	6	108	33987	127	237	6	67	"N-myc downstream regulated gene 4"
"Fxyd1"	399	126	74	6954	774	433	328	138	5862	381	301	333	57	3263	1006	"FXYD domain-containing ion transport regulator 1"
"Fxyd7"	1004	10	1	6	18	985	25	5	8	24	992	33	0	0	31	"FXYD domain-containing ion transport regulator 7"
"Ccdc113"	50	1	3	0	269	93	0	4	0	396	70	0	22	3	189	"coiled-coil domain containing 113"
"Mag"	5766	7	16	13	46	4073	35	13	13	32	2532	19	37	12	74	"myelin-associated glycoprotein"
"Tcaf1"	8618	229	562	164	1223	7941	137	625	97	863	8548	244	499	125	1093	"TRPM8 channel-associated factor 1"
"Zcchc12"	2139	23	9	0	13	1938	31	11	1	15	1106	48	14	0	11	"zinc finger, CCHC domain containing 12"
"Ttll7"	10604	181	255	76	1337	7696	62	66	32	1398	6759	83	35	23	843	"tubulin tyrosine ligase-like family, member 7"
"Dnajc12"	306	43	3998	380	144	247	54	3370	262	223	225	69	3297	334	108	"DnaJ heat shock protein family (Hsp40) member C12"
"Dner"	4046	31	0	1	41	3031	20	1	0	19	2818	23	2	0	52	"delta/notch-like EGF repeat containing"
"Noxa1"	0	342	1	27	30	0	442	1	37	37	0	310	0	17	39	"NADPH oxidase activator 1"
"Slc6a20a"	188	5459	218	2	48	168	3990	260	0	51	131	2940	357	0	16	"solute carrier family 6 (neurotransmitter transporter), member 20A"
"Smad6"	15	275	193	168	1624	12	185	86	220	1031	21	265	191	142	4516	"SMAD family member 6"
"Prodh2"	2	11	677	6934	0	1	34	945	9331	0	2	29	755	5064	0	"proline dehydrogenase (oxidase) 2"
"Neto2"	1815	36	5	38	164	1285	22	10	13	64	1531	40	6	6	86	"neuropilin (NRP) and tolloid (TLL)-like 2"
"Tmem71"	5	59	30	27	441	4	80	45	42	605	2	108	4	41	480	"transmembrane protein 71"
"Apbb1"	5386	64	421	24	1082	6444	129	223	32	1099	6919	185	592	32	1867	"amyloid beta (A4) precursor protein-binding, family B, member 1"
"Azgp1"	0	0	0	72629	18	0	29	1745	56440	119	0	0	0	48428	10	"alpha-2-glycoprotein 1, zinc"
"Lrg1"	15	26	79	7569	758	10	20	28	9830	333	17	119	106	10378	691	"leucine-rich alpha-2-glycoprotein 1"
"Krt80"	21	9	230	6	1696	44	17	378	11	1878	58	15	353	9	4435	"keratin 80"
"Syn1"	12807	39	18	12	24	8667	76	15	23	52	11606	75	2	35	29	"synapsin I"
"Spred3"	1039	52	58	21	104	1310	37	91	25	121	1407	71	39	35	146	"sprouty-related EVH1 domain containing 3"
"Itih2"	137	4	383	48679	434	60	59	485	50745	110	52	138	392	50090	246	"inter-alpha trypsin inhibitor, heavy chain 2"
"Dzank1"	9413	13	103	30	184	6196	29	116	23	164	6080	17	112	41	159	"double zinc ribbon and ankyrin repeat domains 1"
"Galnt6"	558	5681	61	19	242	360	7827	58	53	398	237	5736	124	38	261	"polypeptide N-acetylgalactosaminyltransferase 6"
